Date,RV_actual,RV_forecast_best,RV_forecast_top10
2016-04-21,5.285423401950513e-05,9.191869e-05,9.659813e-05
2016-04-22,8.072922492451358e-05,8.753409e-05,8.5804655e-05
2016-04-25,6.615018032214572e-05,8.904892e-05,9.009371e-05
2016-04-26,5.869506409109005e-05,8.816208e-05,8.8206616e-05
2016-04-27,9.747323108214564e-05,8.742659e-05,8.590021e-05
2016-04-28,0.0001465823345763,8.988576e-05,9.293736e-05
2016-04-29,9.49354636700917e-05,9.432368e-05,0.000108679546
2016-05-02,0.000104971983643,9.071404e-05,9.6535994e-05
2016-05-03,8.462797542712316e-05,9.169704e-05,0.00010030554
2016-05-04,9.322932475882608e-05,9.0390975e-05,9.749822e-05
2016-05-05,0.000171945087101,9.0969406e-05,9.926032e-05
2016-05-06,0.0001157076251394,0.00014457441,0.00015419896
2016-05-09,9.4510263471692e-05,9.337362e-05,0.00010757432
2016-05-10,0.0001286391088613,9.1701506e-05,0.000101420235
2016-05-11,0.0001351417803126,0.00011898372,0.00012011042
2016-05-12,0.0001523596039145,0.00015922193,0.00014592486
2016-05-13,3.2793535365183516e-05,0.00016238286,0.00015177508
2016-05-16,0.0001231298436432,8.719125e-05,8.938943e-05
2016-05-17,0.0001029839273537,9.432981e-05,0.000111590954
2016-05-18,0.0001349743953929,9.248055e-05,0.00010304197
2016-05-19,7.681011938012709e-05,9.55537e-05,0.00011478811
2016-05-20,0.0001760648287833,8.994447e-05,9.418784e-05
2016-05-23,7.64855864400628e-05,0.00016484855,0.0001626045
2016-05-24,5.028443074957498e-05,9.124832e-05,9.868656e-05
2016-05-25,5.612715342291293e-05,8.865409e-05,9.163192e-05
2016-05-26,2.638448316011813e-05,8.841024e-05,8.982196e-05
2016-05-27,1.849976577056911e-05,8.595501e-05,8.126676e-05
2016-05-30,5.5796352267937055e-05,8.419355e-05,7.4449854e-05
2016-05-31,7.276680411360176e-05,8.644729e-05,7.9874204e-05
2016-06-01,7.182857555068032e-05,8.770049e-05,8.3287305e-05
2016-06-02,0.0001301422686445,8.763147e-05,8.3517756e-05
2016-06-03,4.8077220532651975e-05,9.24136e-05,9.852558e-05
2016-06-06,5.437994494407601e-05,8.6837135e-05,8.437126e-05
2016-06-07,5.3049697563391456e-05,8.696897e-05,8.5354535e-05
2016-06-08,5.564130458406076e-05,8.658874e-05,8.355545e-05
2016-06-09,0.0001253277884836,8.655868e-05,8.321638e-05
2016-06-10,0.0001143422024297,9.128187e-05,9.644222e-05
2016-06-13,0.0001414033212355,9.09266e-05,9.701001e-05
2016-06-14,8.583610893609849e-05,9.367114e-05,0.00010873567
2016-06-15,0.0001606533817775,9.011212e-05,9.682974e-05
2016-06-16,0.0001444261578035,0.00016249818,0.00015291707
2016-06-17,0.0001540148721645,0.0001620991,0.00014893488
2016-06-20,0.0001033818123089,0.00016336743,0.00015401482
2016-06-21,8.468976017806533e-05,0.000111634785,0.000112049674
