Date,RV_actual,RV_forecast_best,RV_forecast_top10
2016-04-21,5.285423401950513e-05,9.966703e-05,9.5302705e-05
2016-04-22,8.072922492451358e-05,8.564193e-05,8.631125e-05
2016-04-25,6.615018032214572e-05,9.052591e-05,8.9119145e-05
2016-04-26,5.869506409109005e-05,8.7920154e-05,8.755732e-05
2016-04-27,9.747323108214564e-05,8.5367436e-05,8.5809785e-05
2016-04-28,0.0001465823345763,9.3397575e-05,9.07203e-05
2016-04-29,9.49354636700917e-05,0.00010961667,0.00010229936
2016-05-02,0.000104971983643,9.8519566e-05,9.4589814e-05
2016-05-03,8.462797542712316e-05,0.00010216717,9.693303e-05
2016-05-04,9.322932475882608e-05,9.847202e-05,9.467719e-05
2016-05-05,0.000171945087101,0.00010022333,9.574844e-05
2016-05-06,0.0001157076251394,0.000119937176,0.00014011493
2016-05-09,9.4510263471692e-05,0.00010793879,0.00010567277
2016-05-10,0.0001286391088613,0.000102678925,9.7869124e-05
2016-05-11,0.0001351417803126,0.00011242101,0.0001230399
2016-05-12,0.0001523596039145,0.00011595372,0.00012646339
2016-05-13,3.2793535365183516e-05,0.00011954765,0.00013848752
2016-05-16,0.0001231298436432,8.791466e-05,8.829641e-05
2016-05-17,0.0001029839273537,0.000110516994,0.00011225662
2016-05-18,0.0001349743953929,0.00010471159,9.9531375e-05
2016-05-19,7.681011938012709e-05,0.00011259224,0.00011426498
2016-05-20,0.0001760648287833,9.574921e-05,9.315694e-05
2016-05-23,7.64855864400628e-05,0.00012566741,0.0001477245
2016-05-24,5.028443074957498e-05,0.0001007451,9.7027754e-05
2016-05-25,5.612715342291293e-05,9.206766e-05,9.114183e-05
2016-05-26,2.638448316011813e-05,8.966288e-05,8.925916e-05
2016-05-27,1.849976577056911e-05,8.0265854e-05,8.309087e-05
2016-05-30,5.5796352267937055e-05,7.059292e-05,7.618802e-05
2016-05-31,7.276680411360176e-05,7.7628654e-05,8.035657e-05
2016-06-01,7.182857555068032e-05,8.244105e-05,8.343828e-05
2016-06-02,0.0001301422686445,8.27507e-05,8.365097e-05
2016-06-03,4.8077220532651975e-05,0.00010129105,9.5814146e-05
2016-06-06,5.437994494407601e-05,8.352439e-05,8.474347e-05
2016-06-07,5.3049697563391456e-05,8.416758e-05,8.4952626e-05
2016-06-08,5.564130458406076e-05,8.254622e-05,8.374734e-05
2016-06-09,0.0001253277884836,8.2141e-05,8.335786e-05
2016-06-10,0.0001143422024297,9.791456e-05,9.321516e-05
2016-06-13,0.0001414033212355,9.835522e-05,9.376046e-05
2016-06-14,8.583610893609849e-05,0.00010857404,0.00010165673
2016-06-15,0.0001606533817775,9.766624e-05,9.394202e-05
2016-06-16,0.0001444261578035,0.00012000876,0.00014084745
2016-06-17,0.0001540148721645,0.00011743169,0.00012808618
2016-06-20,0.0001033818123089,0.00012160976,0.00014309233
2016-06-21,8.468976017806533e-05,0.00010836055,0.00011659518
2016-06-22,0.0003127041612844,0.00010343535,0.000105605475
2016-06-23,0.0062272572807869,0.00024028418,0.00021598907
2016-06-24,0.0003338888393461,0.0014737386,0.0014566196
2016-06-27,0.0001944522711404,0.0004649709,0.0004960915
2016-06-28,0.00012518008458,0.00034009933,0.00044140135
2016-06-29,0.0002244528483643,0.0003365934,0.00042702063
2016-06-30,0.0001329190567126,0.00035627006,0.00045067593
2016-07-01,5.95428722118083e-05,0.0001907931,0.00019461518
2016-07-04,9.953972764709518e-05,0.00017898766,0.00017628631
2016-07-05,0.0001444011275835,0.00017943911,0.00017895646
2016-07-06,0.0001058242641617,0.00018349549,0.00018621945
2016-07-07,0.0002152102266698,0.00017814516,0.00017790686
2016-07-08,0.0001163844818066,0.00018857096,0.00020249313
2016-07-11,8.607745962498945e-05,0.00018315861,0.0001842801
2016-07-12,0.000388668271507,0.00018051662,0.00017954769
2016-07-13,0.0001100427441462,0.00032409964,0.00028120182
2016-07-15,0.0001280119033764,0.00018917397,0.00019101994
2016-07-18,9.980837045345352e-05,0.00018855275,0.00019130795
2016-07-19,6.670098684778401e-05,0.0001858943,0.00018657758
2016-07-20,0.0001169894449479,0.0001827488,0.0001811107
2016-07-21,0.0001187004139295,0.00017969242,0.00018036211
2016-07-22,6.900010930245905e-05,0.00018008545,0.00018090205
2016-07-25,8.972933572017637e-05,0.00017507965,0.0001727456
2016-07-26,2.579181904093408e-05,0.00017536529,0.00017398226
2016-07-27,8.528859290513268e-05,8.6634565e-05,8.8474095e-05
2016-07-28,6.293501255894337e-05,9.72664e-05,9.4595096e-05
2016-07-29,6.462306055668062e-05,8.869443e-05,8.876055e-05
2016-08-01,7.760070877525404e-05,8.849702e-05,8.852048e-05
