Model,MSE,RMSE,MAE,Mean_Error
NN4_best,5.4428886047411505e-08,0.0002332999915289572,6.505451728777929e-05,-2.2046972630536904e-05
NN4_top10,5.355542659946701e-08,0.00023142045415102574,6.850248305663514e-05,-2.7775002524123964e-05
