,RV_actual,RV_forecast_best,RV_forecast_ensemble
2016-04-21,5.285423401950513e-05,0.00011550798661178996,0.00011018311777349628
2016-04-22,8.072922492451358e-05,9.53997986331173e-05,9.819450245327522e-05
2016-04-25,6.615018032214572e-05,0.00010235841103694932,0.00010130198577272538
2016-04-26,5.869506409109005e-05,9.841023031322792e-05,9.916322248201579e-05
2016-04-27,9.747323108214564e-05,9.448498870387577e-05,9.760023670580182e-05
2016-04-28,0.0001465823345763,0.00010565158010416897,0.00010381888988191944
2016-04-29,9.49354636700917e-05,0.00012468705641415382,0.00011912099359613795
2016-05-02,0.000104971983643,0.00010939506188303321,0.00010560034857085278
2016-05-03,8.462797542712316e-05,0.00011259148781338527,0.00010809929628925028
2016-05-04,9.322932475882608e-05,0.00010627262112426322,0.00010473067284331131
2016-05-05,0.000171945087101,0.00010849158324803802,0.00010583197458439177
2016-05-06,0.0001157076251394,0.0001348269087614182,0.000131413755525867
2016-05-09,9.4510263471692e-05,0.00011696287910477823,0.00011460988622203846
2016-05-10,0.0001286391088613,0.00011133755075116628,0.00010883011665385578
2016-05-11,0.0001351417803126,0.00012210073731818078,0.0001199210944792753
2016-05-12,0.0001523596039145,0.0001258457404751439,0.00012442701286457625
2016-05-13,3.2793535365183516e-05,0.00013119588841031555,0.00012976652695602966
2016-05-16,0.0001231298436432,9.180129446440562e-05,9.452669019590382e-05
2016-05-17,0.0001029839273537,0.00012124430773418832,0.00011832579279040314
2016-05-18,0.0001349743953929,0.00011369990955257433,0.0001107433940183343
2016-05-19,7.681011938012709e-05,0.0001250734952265218,0.0001214120317410427
2016-05-20,0.0001760648287833,0.0001048958895822106,0.00010255358368987373
2016-05-23,7.64855864400628e-05,0.00014111038827026954,0.00013821369154302815
2016-05-24,5.028443074957498e-05,0.00010872004586402412,0.00010568554320758293
2016-05-25,5.612715342291293e-05,9.947474345747733e-05,9.816710933545644e-05
2016-05-26,2.638448316011813e-05,9.835590976646553e-05,9.848817378497671e-05
2016-05-27,1.849976577056911e-05,8.770318363012586e-05,9.488118207417909e-05
