Model,MSE,RMSE,MAE,Mean_Error
NN1_best,4.964029200167037e-08,0.00022280101436409657,4.7453484145164166e-05,-4.461749515440568e-06
NN1_top10,5.221890220300679e-08,0.00022851455577929122,5.517007973056372e-05,-1.3037824218084805e-05
