Model,MSE,RMSE,MAE,Mean_Error
NN1_best,5.964687294802397e-08,0.00024422709298524593,6.434120201544417e-05,-1.76476337787922e-05
NN1_top10,5.7618679456990106e-08,0.00024003891238086816,6.919945628356433e-05,-2.5534764126275258e-05
