Model,MSE,RMSE,MAE,Mean_Error
NN3_best,5.6286528851177494e-08,0.0002372478215941666,6.048007138443512e-05,-1.3325849902140175e-05
NN3_top5,5.6261142773187075e-08,0.00023719431437786842,6.0622865576632576e-05,-1.3492707193748071e-05
