Model,MSE,RMSE,MAE,Mean_Error
NN2_best,5.6310310676765136e-08,0.0002372979365202427,5.597334738899751e-05,-7.523686574045212e-06
NN2_top10,5.645524584605419e-08,0.00023760312675984334,5.982187129354452e-05,-1.2928630923070665e-05
