,RVD_tot,RVW_tot,RVM_tot,logRVD_tot,logRVW_tot,logRVM_tot,RVD_pos_tot,RVD_neg_tot,RD_neg_tot,RW_neg_tot,RM_neg_tot,RQ_tot
1998-04-17,8.668833891071822e-05,9.906578359417872e-05,8.516611053191563e-05,-9.353191182523295,-9.21972644774999,-9.370906966967883,4.623066726108405e-05,4.045767164963418e-05,0.0,-0.0013612862384918668,0.0,8.95450700909675e-09
1998-04-20,0.00028503447725518815,0.00013954817060466462,9.471879829892533e-05,-8.162900412187025,-8.877100707314272,-9.264598073786958,0.0001970133980912538,8.802107916393434e-05,0.0,0.0,0.0,5.002373967787959e-07
1998-04-21,4.700447935626778e-05,0.00012676554172165767,9.378850965203514e-05,-9.965267655342986,-8.973171305876454,-9.27446820783479,1.3658889096446524e-05,3.334559025982126e-05,-0.00427548605993087,0.0,0.0,2.7170143949858392e-09
1998-04-22,0.00019986674438943956,0.00013954795298372477,0.00010094577114222007,-8.517859691530903,-8.877102266783726,-9.200927104699803,0.00011922756781638839,8.063917657305114e-05,-0.002740312975120405,-0.0011839564162573468,0.0,2.1956468379393656e-07
1998-04-23,6.674971612310908e-05,0.00013706875120694456,0.0001023205730039122,-9.614560513530275,-8.8950279243852,-9.187399800592946,2.5569855145322425e-05,4.117986097778665e-05,-0.013787465279174793,-0.001306255656728304,0.0,5.14799061277479e-09
1998-04-24,8.238376147336636e-05,0.00013620783571947418,0.0001039068284786998,-9.404122209967575,-8.901328634923718,-9.172015940375742,2.8447670500033947e-05,5.393609097333241e-05,-0.015747471773854452,-0.005547919239561815,0.0,8.084789580357428e-09
1998-04-27,0.0002829407975000378,0.00013578909976844411,0.00011476037523131017,-8.170272878318537,-8.904407612862084,-9.072664297151766,1.9622083623200842e-05,0.000263318713876837,-0.034054915646291865,-0.014121130346874478,-0.00021942353528231327,1.231967459999067e-06
1998-04-28,0.00018691967112080207,0.00016377213812135096,0.00012085448270475158,-8.584831599598598,-8.71703449795268,-9.020923358372789,0.00015811558249906798,2.8804088621734097e-05,0.0,-0.00786815755407049,0.0,2.5087498694519637e-08
1998-04-29,0.00012570721880827954,0.00014894023300511896,0.00012406107534658711,-8.981555015152452,-8.811965453260285,-8.994736570501145,4.5722091789148704e-05,7.998512701913084e-05,-0.011842004514939442,-0.009688495862034296,-0.0003453786498151474,1.8472100077512392e-08
1998-04-30,0.00011038568179399997,0.00015766742613929717,0.00012643653216498228,-9.111530126427187,-8.755022641200908,-8.975770097717255,9.982692985791089e-05,1.055875193608907e-05,0.0,-0.0020171399118091154,0.0,1.44841883814223e-07
1998-05-04,0.000701233429392438,0.0002814373597231115,0.00013748128317613102,-7.262669731506474,-8.175600658332591,-8.892022772478548,0.0006915275921144411,9.705837277996912e-06,0.0,0.0,0.0,4.328488488853046e-07
1998-05-05,8.48578930291344e-05,0.00024182077882893078,0.00013876812742893876,-9.374532547285344,-8.327313689526433,-8.882706165734959,2.4288544370021142e-05,6.056934865911326e-05,-0.01557685701078557,0.0,0.0,1.1580477931448059e-08
1998-05-06,0.0002044849885039968,0.0002453338423055697,0.00014600587396946423,-8.495015991024186,-8.312890653290566,-8.831863704397687,4.186825021708027e-05,0.00016261673828691655,0.0,0.0,0.0,2.764018273765231e-08
1998-05-07,0.00011580444815424222,0.00024335328817476224,0.0001489333549518802,-9.063607581177605,-8.320996309654618,-8.812011634281484,3.708166206346318e-05,7.872278609077904e-05,-0.014342673645457148,0.0,0.0,1.6436729264949904e-08
1998-05-11,0.0005002580487461604,0.00032132776156519437,0.00017009019550902154,-7.600386495182268,-8.043048891699573,-8.679181699794396,0.0004933607446549674,6.897304091192945e-06,0.0,0.0,0.0,2.2311580870978475e-07
1998-05-12,0.0003916942578121431,0.0002594199272491354,0.00018510526822546885,-7.845028977057479,-8.257062468488394,-8.594585877280018,0.00019985630488067742,0.0001918379529314657,-0.001963984148404206,-0.0012244089259536763,0.0,1.1013736378463718e-06
1998-05-13,3.8870703369924694e-05,0.0002502224893172934,0.00018148902360912874,-10.15526971781944,-8.293160078610025,-8.614315382070876,2.2077689147284603e-05,1.6793014222640084e-05,0.0,0.0,-0.0005505748474444998,1.8279847247072781e-09
1998-05-14,5.05239028488357e-05,0.00021943027218626122,0.00018045677898401177,-9.893064009925986,-8.424476042493161,-8.620019260476576,2.6487526205467267e-05,2.4036376643368436e-05,0.0,0.0,0.0,2.8255185531875247e-09
1998-05-15,3.619159222682737e-05,0.00020350770100077825,0.00017834628125783307,-10.226683725036251,-8.499806711041977,-8.631783497187895,1.511667168673674e-05,2.107492054009063e-05,-0.0015059970549087401,0.0,0.0,1.5403007569231276e-09
1998-05-18,5.988930390071185e-05,0.00011543395203168854,0.00017602681217280625,-9.72301263471902,-9.066812035448981,-8.644874232638026,2.1711886871085847e-05,3.8177417029626e-05,-0.015290519358399975,-0.0026503392401738624,-0.0001519987136892727,4.715946467457466e-09
1998-05-19,5.134328085511128e-05,4.736375664028218e-05,0.0001721808391171702,-9.876976480100456,-9.95765324958236,-8.666965243258304,3.773753632455633e-05,1.3605744530554958e-05,0.0,0.0,0.0,2.200367809243853e-09
1998-05-20,3.876514704309236e-05,4.734264537491571e-05,0.00017034535830062848,-10.15798898710843,-9.95809907510771,-8.677682662243628,2.7579322771741807e-05,1.1185824271350552e-05,0.0,0.0,0.0,2.758628528641377e-09
1998-05-22,6.887830505306069e-05,5.101352581576072e-05,0.0001695358113070986,-9.583169305391165,-9.883419748328715,-8.682446377311358,5.431523120241778e-05,1.4563073850642918e-05,0.0,0.0,0.0,2.805542206433855e-09
1998-05-25,4.242475724833655e-05,5.226015882006255e-05,0.0001585080967613326,-10.067778468761674,-9.859276258839637,-8.749704882283952,3.20951594047067e-05,1.0329597843629847e-05,0.0,0.0,0.0,2.1663014877109957e-09
1998-05-26,0.00023442923607610897,8.716814525514197e-05,0.00016702740388496176,-8.358356780752064,-9.347671600497177,-8.697352663890118,0.00012205631065956864,0.00011237292541654036,0.0,0.0,0.0,5.22902626961204e-07
1998-05-27,0.00018511320078313522,0.00011392212924074675,0.00016635678826649338,-8.594543023892994,-9.07999541980861,-8.701375749199865,3.5744406500042234e-05,0.000149368794283093,-0.02450149846197542,0.0,0.0,7.352935484212003e-08
1998-05-28,0.0001894300648991955,0.00014405511281196737,0.0001719331677563155,-8.571490652221625,-8.845314603749015,-8.668404716215951,0.00012515112464676545,6.427894025243006e-05,-0.0002634943558586075,-0.0007407006255714912,0.0,3.474151849205555e-08
1998-05-29,4.717652304951082e-05,0.0001397147564112574,0.00017033283873704933,-9.961614182132545,-8.875907667993715,-8.67775616012928,3.39026363501252e-05,1.3273886699385615e-05,0.0,0.0,0.0,2.071849705018741e-09
1998-06-02,0.00023158845845960342,0.0001775474966535108,0.0001679986415079387,-8.370548647446721,-8.636272398063419,-8.691554664855978,3.075621408225811e-05,0.0002008322443773453,-0.0007954009625818274,-0.003078298324584968,0.0,3.968627971251291e-08
1998-06-03,3.263262831355299e-05,0.00013718817510099962,0.00016098559410760918,-10.330197901612657,-8.894157033697327,-8.734195674575659,2.327413045907504e-05,9.358497854477957e-06,0.0,-0.0013724966396735203,0.0,4.678640771221925e-09
1998-06-04,5.4539291918182295e-05,0.00011107339332800902,0.0001577506883398775,-9.81658916342938,-9.10531937399588,-8.754494693066718,1.9862680502865186e-05,3.467661141531711e-05,-0.007428371078916284,0.0,0.0,5.190624956973159e-09
1998-06-05,6.799063866286373e-05,8.678550808074266e-05,0.00015582364092482583,-9.596140528987693,-9.35207090783207,-8.766785697111818,4.463992926030945e-05,2.3350709402554273e-05,0.0,0.0,0.0,6.802880065357326e-09
1998-06-08,5.954467486029259e-05,8.9259138442899e-05,0.00012665597026427378,-9.728783689162404,-9.323966751029104,-8.974036042759705,4.3082967610402276e-05,1.646170724989032e-05,0.0,0.0,0.0,3.630312694622566e-09
1998-06-09,2.6155136060411997e-05,4.817247396306072e-05,0.00012398766312933185,-10.551464979074863,-9.940722779640335,-8.99532848820127,8.256591902943155e-06,1.789854415746885e-05,-0.008392138877597198,0.0,0.0,9.684768956584007e-10
1998-06-10,3.4973767713384826e-05,4.864070184302709e-05,0.00011628260763884948,-10.260912271389126,-9.931049891071915,-9.059487057010346,1.661859606064864e-05,1.8355171652736177e-05,0.0,0.0,0.0,1.6186118041408573e-09
1998-06-12,0.0005019370335280097,0.00013812025016499257,0.00013383408879220253,-7.5970358773588025,-8.887385874229292,-8.918909668487881,2.8757621029666182e-05,0.00047317941249834354,-0.036039990064270576,-0.004265708619118834,0.0,1.8322174272907367e-07
1998-06-15,0.00013734166127872823,0.0001519904546881655,0.00011733788936186472,-8.893038858742322,-8.791692837194056,-9.050452841999524,4.9291215792708795e-05,8.805044548601942e-05,-0.015009576809432474,-0.010044563508688865,-0.0006040260395421238,4.771891977894429e-08
1998-06-16,0.00010940978993811883,0.00016196347770373073,0.00010450677718577272,-9.120410184428804,-8.728139694421989,-9.166258635209932,5.287181446872295e-05,5.653797546939588e-05,0.0,-0.01037420078839877,-0.00029597291842221315,1.7932218298476052e-08
1998-06-17,0.00011495172914301676,0.00017972279632025165,0.00010796500563000415,-9.070998264301743,-8.62409491456747,-9.133703405290913,8.03722657599223e-05,3.457946338309446e-05,0.0,-0.004982743709137006,0.0,2.2652194961534622e-08
1998-06-18,6.294920887105138e-05,0.00018531788455178498,0.00010852979226737762,-9.673182365129517,-8.59343791259114,-9.12848583956533,2.4376566999930353e-05,3.857264187112103e-05,-0.012530901734749484,-0.008040427514701418,-0.0002720892628259169,4.0844823230229646e-09
